tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
right_hip_imu,0.04166667,348.7605,215.837,0.736713,-0.02121925,-9.777517,-0.01094639,-9.593493,-0.1125665,-1.884847,1.522094,0.7804214,-0.06856779
right_hip_imu,0.09166667,348.6794,215.8685,0.6298907,-0.05931854,-9.809084,0.001877546,-9.624724,-0.05664266,-1.892915,1.521892,0.7804549,-0.06859046
right_hip_imu,0.1416667,348.3095,215.9418,0.2627326,-0.07882118,-9.762688,0.008389354,-9.568389,0.02486309,-1.939505,1.521494,0.7805817,-0.06859216
right_hip_imu,0.1916667,347.4638,215.8152,359.5467,-0.08196831,-9.725566,-0.00140965,-9.503543,0.1408377,-2.063055,1.520891,0.7808946,-0.06859738
right_hip_imu,0.2416668,346.2412,215.8384,358.3988,-0.2914429,-9.592433,-0.004455447,-9.348443,0.495075,-2.112164,1.519559,0.7817264,-0.06861375
right_hip_imu,0.2916667,345.6329,215.7075,357.6042,-0.2682686,-9.646077,0.006851554,-9.364402,0.6138163,-2.247226,1.517556,0.782943,-0.06861298
right_hip_imu,0.3416667,345.615,215.7312,357.3768,-0.1884937,-9.858651,0.05053878,-9.548339,0.6201873,-2.382367,1.515082,0.7840129,-0.06848586
right_hip_imu,0.3916666,345.7871,216.163,357.4605,-0.3835201,-9.900446,0.1820803,-9.588943,0.8427743,-2.353926,1.51165,0.7848318,-0.06790355
right_hip_imu,0.4416666,345.7979,216.3646,357.5091,-0.2340317,-10.03808,0.2392054,-9.694535,0.7523305,-2.514982,1.507632,0.7850554,-0.06672322
right_hip_imu,0.4916665,345.9196,215.8531,357.4824,-0.01535416,-9.981508,0.2469093,-9.618919,0.5801519,-2.613717,1.503576,0.7848253,-0.06492562
right_hip_imu,0.5416665,346.4511,215.4869,357.6941,0.2133846,-9.911246,0.1847357,-9.566086,0.3186418,-2.588616,1.500053,0.784317,-0.06266618
right_hip_imu,0.5916665,347.0048,216.3217,357.9832,0.4401684,-10.01324,0.1920015,-9.665871,0.09931508,-2.656448,1.497631,0.7832757,-0.05992673
right_hip_imu,0.6416664,346.8856,218.0456,358.1748,0.516367,-9.966917,0.2527118,-9.592733,0.05464736,-2.765214,1.4965,0.781817,-0.05655551
right_hip_imu,0.6916664,346.032,219.86,358.0295,0.4352093,-9.723706,0.2188414,-9.329455,0.1270517,-2.780808,1.496457,0.7805491,-0.05263718
right_hip_imu,0.7416663,344.7549,221.4738,357.7235,0.3236771,-9.372587,0.1298562,-8.959959,0.1995454,-2.765203,1.497222,0.7803497,-0.04839421
right_hip_imu,0.7916663,343.5841,222.6148,357.548,0.3202915,-9.000821,-0.1059502,-8.59994,0.06053743,-2.676931,1.498789,0.7821483,-0.04441612
right_hip_imu,0.8416662,342.6207,222.7605,357.0797,0.4778862,-9.11438,-0.1664206,-8.650289,-0.0231789,-2.915469,1.50155,0.7856609,-0.04085408
right_hip_imu,0.8916662,340.1737,223.0584,356.1782,0.509882,-9.363575,0.1993388,-8.637624,0.3400365,-3.640342,1.505587,0.7902646,-0.03679369
right_hip_imu,0.9416661,337.9225,224.1029,355.4833,0.2608776,-9.597964,0.4823595,-8.657089,0.8326882,-4.096718,1.510275,0.7953734,-0.03152741
right_hip_imu,0.9916661,336.8687,226.4603,354.8792,-0.2169609,-10.05227,0.3254727,-9.146661,1.206593,-4.010473,1.514421,0.7998515,-0.02544744
right_hip_imu,1.041666,337.9256,228.5786,355.0782,-0.6602287,-10.31405,0.2414888,-9.595294,1.446452,-3.565397,1.516916,0.8030444,-0.01876375
right_hip_imu,1.091666,341.3705,230.2492,356.512,-0.7705688,-10.66653,0.06290734,-10.23208,1.165774,-2.884114,1.517485,0.8040711,-0.01192279
right_hip_imu,1.141666,345.4319,232.3178,358.0056,-0.5605698,-10.95197,0.1058745,-10.67385,0.7984077,-2.388011,1.516652,0.8022178,-0.004817146
right_hip_imu,1.191666,347.8258,234.6518,359.2616,-0.2097607,-10.33899,0.7763878,-10.03728,0.8840447,-2.452164,1.515295,0.799017,0.004229468
right_hip_imu,1.241666,347.6144,236.7042,359.5533,-0.08616447,-9.234161,0.8411515,-8.929532,0.8200213,-2.361297,1.513723,0.7972308,0.01537896
right_hip_imu,1.291666,345.8871,238.0738,358.9197,-0.2468586,-8.638592,0.1946691,-8.39677,0.4541523,-2.003021,1.511533,0.7983482,0.02701513
right_hip_imu,1.341666,345.8908,239.5518,358.8862,-0.08525848,-8.998628,-0.5696213,-8.82249,-0.2764222,-1.842366,1.509131,0.801469,0.03722724
right_hip_imu,1.391666,346.981,240.313,359.9689,0.2500534,-9.829803,-1.228768,-9.665931,-1.186085,-1.833137,1.507353,0.8045152,0.04436743
right_hip_imu,1.441666,347.8273,240.7841,1.093875,0.4838467,-10.33554,-1.53151,-10.13986,-1.766746,-1.861414,1.506785,0.8062227,0.04767885
right_hip_imu,1.491666,348.2159,241.5743,2.180958,0.6296158,-10.20703,-1.483892,-9.954753,-1.984969,-1.935088,1.507791,0.8069125,0.04728054
right_hip_imu,1.541666,348.4466,242.6848,3.51896,0.5199432,-9.490223,-1.335916,-9.223105,-1.995416,-1.75271,1.510097,0.8083768,0.04354244
right_hip_imu,1.591666,349.2838,242.957,5.183819,0.2933979,-8.983011,-1.633348,-8.735886,-2.387226,-1.197441,1.513137,0.8118836,0.03572097
right_hip_imu,1.641665,349.8073,241.1536,6.403082,0.3208637,-9.435601,-2.074358,-9.135434,-3.009348,-0.9613326,1.516979,0.8163014,0.0227136
right_hip_imu,1.691665,348.863,238.0603,6.554872,0.5399227,-9.824796,-2.394923,-9.467355,-3.421087,-1.104148,1.52217,0.8206572,0.003718923
