tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
head_imu,0.04166667,1.806302,284.1409,7.800005,-0.001323223,-9.876771,-0.1479566,-9.7621,-1.482382,0.2764763,-0.0887107,1.720677,0.03420119
head_imu,0.09166667,1.592057,283.6932,8.545565,-0.02129674,-9.732099,-0.2288774,-9.587465,-1.670619,0.2369116,-0.08876725,1.720655,0.0332591
head_imu,0.1416667,1.308337,282.9664,9.561164,-0.06041229,-9.79466,-0.1999229,-9.621155,-1.831905,0.2376493,-0.08897483,1.720646,0.03181721
head_imu,0.1916667,1.099267,282.0618,10.59429,-0.1280665,-9.807057,-0.1991257,-9.59581,-2.02015,0.2717582,-0.08950258,1.720619,0.02987751
head_imu,0.2416668,1.0168,280.9148,11.63535,-0.3814071,-9.841342,-0.8804671,-9.445055,-2.901278,0.3824,-0.09098385,1.72049,0.02573663
head_imu,0.2916667,1.015465,279.9946,12.77554,-0.550124,-9.85908,-0.5700245,-9.460592,-2.818673,0.6175012,-0.09384042,1.720212,0.0201707
head_imu,0.3416667,0.9958136,279.1281,13.99605,-0.581798,-9.895606,-0.2585123,-9.50733,-2.727918,0.7053179,-0.09815149,1.719695,0.01395848
head_imu,0.3916666,1.146038,278.1507,15.20924,-0.8760035,-9.968228,-0.5577731,-9.424516,-3.263103,0.9872903,-0.1046526,1.718758,0.00635183
head_imu,0.4416666,1.370438,277.06,16.402,-0.7579178,-9.954877,-0.2725816,-9.427843,-3.154221,0.9565485,-0.1130484,1.717434,-0.001936274
head_imu,0.4916665,1.721246,276.0259,17.51581,-0.4975259,-9.93299,-0.1884153,-9.382442,-3.212374,0.7731394,-0.1226881,1.715777,-0.01069542
head_imu,0.5416665,2.067548,275.0294,18.6618,0.01198947,-9.976668,-0.1873711,-9.387561,-3.366439,0.3315846,-0.1322978,1.713679,-0.01992298
head_imu,0.5916665,2.095363,274.2532,20.17405,0.6769657,-10.09135,-0.157057,-9.452772,-3.586457,-0.3173221,-0.1402151,1.710852,-0.0295432
head_imu,0.6416664,1.778421,273.568,21.88367,1.277053,-10.01949,-0.01628011,-9.353331,-3.688784,-0.9640289,-0.1449398,1.707476,-0.03920411
